runtime,throughput,latency,Threads,Queue
55.02,3635167.34,15.09,4,BackoffBatchQueue
64.25,3112985.82,16.51,4,BatchQueue
124.53,1606068.37,558.29,4,LockBasedQueue
85.98,2326092.59,2.83,4,MSQueue
135.32,2956023.99,6080.0,8,BackoffBatchQueue
104.42,3830504.03,437.09,8,BatchQueue
179.54,2227955.49,39210.0,8,LockBasedQueue
145.16,2755648.39,639.57,8,MSQueue
305.41,2619469.08,10.56,16,BackoffBatchQueue
257.54,3106307.55,3600.0,16,BatchQueue
356.34,2245053.79,67550.0,16,LockBasedQueue
339.05,2359538.86,5820.0,16,MSQueue
1069.45,1496090.95,1730.0,32,BackoffBatchQueue
980.27,1632209.37,246.01,32,BatchQueue
867.5,1844382.11,183160.0,32,LockBasedQueue
1129.85,1416114.93,3540.0,32,MSQueue
