threads,requests_per_client,queue,runtime_ms,throughput_reqs_per_sec,latency_ms,avg_enqueue_ms,avg_dequeue_ms
4,10000,BackoffBatchQueue,87.88,455180.12,0.0063,0.00436,0.00114
4,10000,BatchQueue,108.92,367257.19,0.02543,0.00514,0.00151
4,10000,LockBasedQueue,225.13,177674.65,5.12,0.00857,0.00108
4,10000,MSQueue,84.85,471401.82,0.40201,0.00567,0.0020299999999999997
8,10000,BackoffBatchQueue,50.61,1580643.44,0.04728,0.0027400000000000002,0.00159
8,10000,BatchQueue,70.09,1141352.19,0.41613,0.00423,0.00164
8,10000,LockBasedQueue,135.8,589093.38,26.74,0.009519999999999999,0.0061200000000000004
8,10000,MSQueue,47.53,1683239.56,0.5212100000000001,0.00256,0.0014299999999999998
16,10000,BackoffBatchQueue,110.14,1452713.71,0.019370000000000002,0.00235,0.0015400000000000001
16,10000,BatchQueue,168.45,949818.7,0.55012,0.00242,0.00121
16,10000,LockBasedQueue,139.26,1148931.71,28.92,0.01017,0.00651
16,10000,MSQueue,113.63,1408039.2,0.47692,0.00391,0.00266
