threads,requests_per_client,queue,runtime_ms,throughput_reqs_per_sec,latency_ms,avg_enqueue_ms,avg_dequeue_ms
4,10000,BackoffBatchQueue,87.88,455180.12,0.0063,0.00436,0.00114
4,10000,BatchQueue,108.92,367257.19,0.02543,0.00514,0.00151
4,10000,LockBasedQueue,225.13,177674.65,5.12,0.00857,0.00108
4,10000,MSQueue,84.85,471401.82,0.40201,0.00567,0.0020299999999999997
8,10000,BackoffBatchQueue,50.61,1580643.44,0.04728,0.0027400000000000002,0.00159
8,10000,BatchQueue,70.09,1141352.19,0.41613,0.00423,0.00164
8,10000,LockBasedQueue,135.8,589093.38,26.74,0.009519999999999999,0.0061200000000000004
8,10000,MSQueue,47.53,1683239.56,0.5212100000000001,0.00256,0.0014299999999999998
16,10000,BackoffBatchQueue,110.14,1452713.71,0.019370000000000002,0.00235,0.0015400000000000001
16,10000,BatchQueue,168.45,949818.7,0.55012,0.00242,0.00121
16,10000,LockBasedQueue,139.26,1148931.71,28.92,0.01017,0.00651
16,10000,MSQueue,113.63,1408039.2,0.47692,0.00391,0.00266
4,50000,BackoffBatchQueue,112.9,1771529.4,0.01455,0.00155,0.0011799999999999998
4,50000,BatchQueue,132.76,1506527.78,0.08621,0.00197,0.0016
4,50000,LockBasedQueue,197.65,1011884.07,3.53,0.00348,0.0033
4,50000,MSQueue,103.77,1927337.45,1.73,0.0015,0.00134
8,50000,BackoffBatchQueue,206.53,1936803.08,8.42,0.00276,0.00131
8,50000,BatchQueue,241.28,1657811.19,7.08,0.00254,0.00114
8,50000,LockBasedQueue,402.25,994402.01,88.09,0.0059299999999999995,0.00369
8,50000,MSQueue,209.56,1908739.35,26.92,0.0025,0.00133
16,50000,BackoffBatchQueue,563.42,1419895.61,4.42,0.006549999999999999,0.00197
16,50000,BatchQueue,555.07,1441269.53,0.51254,0.00373,0.002
16,50000,LockBasedQueue,740.41,1080487.4,168.92,0.010960000000000001,0.00709
16,50000,MSQueue,643.27,1243641.49,0.76942,0.00741,0.00265
4,200000,BackoffBatchQueue,469.54,1703786.86,0.49681000000000003,0.00172,0.00115
4,200000,BatchQueue,468.36,1708083.78,0.01959,0.0017,0.00084196
4,200000,LockBasedQueue,522.83,1530141.1,45.15,0.00222,0.00239
4,200000,MSQueue,505.55,1582439.67,1.17,0.00195,0.0015400000000000001
8,200000,BackoffBatchQueue,723.84,2210433.55,0.2737,0.0025299999999999997,0.0010500000000000002
8,200000,BatchQueue,877.58,1823205.37,20.33,0.0029500000000000004,0.00141
8,200000,LockBasedQueue,1769.74,904086.79,454.9,0.006860000000000001,0.00415
8,200000,MSQueue,763.07,2096783.87,0.16149000000000002,0.00275,0.0012
16,200000,BackoffBatchQueue,2811.08,1138352.36,1.07,0.010060000000000001,0.0035099999999999997
16,200000,BatchQueue,1952.42,1638990.69,1.76,0.00613,0.00184
16,200000,LockBasedQueue,2719.57,1176655.48,518.03,0.01109,0.0065899999999999995
16,200000,MSQueue,3583.38,893011.75,0.36482,0.013730000000000001,0.00561
4,500000,BackoffBatchQueue,846.85,2361701.42,0.07462,0.00126,0.001
4,500000,BatchQueue,863.77,2315422.08,0.04286,0.00123,0.0007880900000000001
4,500000,LockBasedQueue,1305.25,1532277.03,12.25,0.00228,0.00214
4,500000,MSQueue,1159.62,1724702.03,0.13712,0.0018700000000000001,0.00164
8,500000,BackoffBatchQueue,1823.07,2194096.95,1.16,0.00257,0.00093816
8,500000,BatchQueue,2099.41,1905298.93,94.58,0.0028799999999999997,0.0014
8,500000,LockBasedQueue,2477.4,1614593.73,505.9,0.0038399999999999997,0.00231
8,500000,MSQueue,2108.58,1897011.89,103.86,0.00297,0.0015400000000000001
16,500000,BackoffBatchQueue,5201.17,1538116.29,0.09409000000000001,0.00722,0.00173
16,500000,BatchQueue,4637.65,1725010.06,3.29,0.00579,0.00206
16,500000,LockBasedQueue,7766.55,1030057.97,1964.5,0.01323,0.0076100000000000004
16,500000,MSQueue,6094.99,1312553.38,0.01063,0.00857,0.0025800000000000003
